Setting up a new session...
Namespace(G0=64, RDNconfig='B', RDNkSize=3, act='relu', batch_size=16, betas=(0.9, 0.999), betas2=(0.9, 0.999), chop=False, cpu=False, data_range='1-800/801-810', data_test=['Set5', 'Set14', 'Urban100', 'B100'], data_train=['DIV2K'], debug=False, decay='20', decay2='200', dilation=False, dir_data='../dataset', dir_demo='../test', epochs=100, epsilon=1e-08, epsilon2=1e-08, ext='sep', extend='.', gamma=0.5, gamma2=0.5, gan_k=1, gaussian_size=7, gclip=0, load='', loops=3, loss='1*L1', lr=0.0001, lr2=0.0001, model='RCAN', momentum=0.9, momentum2=0.9, n_GPUs=3, n_colors=3, n_feats=64, n_resblocks=20, n_resgroups=10, n_threads=16, no_augment=False, onlydraw=False, optimizer='ADAM', optimizer2='ADAM', patch_size=192, pre_train='../experiment/models_ECCV2018RCAN/RCAN_BIX2.pt', precision='single', print_every=10, reduction=16, res_scale=1, reset=False, resume=0, rgb_range=255, save='RCAN_BIX2_G10R20_1000_192', save_gt=False, save_models=False, save_results=True, scale=[2], seed=1, self_ensemble=False, shift_mean=True, sigma=0, sigma_region=16, skip_threshold=100000000.0, split_batch=1, template='RCAN', test_every=1000, test_only=False, trainer='trainer', visdom=True, weight_decay=0, weight_decay2=0)
Making model...
Load the model from ../experiment/models_ECCV2018RCAN/RCAN_BIX2.pt
Preparing loss function:
1.000 * L1
[Epoch 1]	Learning rate: 1.00e-4
[160/16000]	[L1: 3.1959]	31.0+1.0s
[320/16000]	[L1: 3.1771]	20.6+0.0s
[480/16000]	[L1: 3.1173]	21.2+0.0s
[640/16000]	[L1: 3.1480]	20.8+0.0s
[800/16000]	[L1: 3.1587]	21.6+0.0s
[960/16000]	[L1: 3.2497]	20.7+0.0s
[1120/16000]	[L1: 3.2166]	21.0+0.0s
[1280/16000]	[L1: 3.1815]	21.0+0.0s
[1440/16000]	[L1: 3.1442]	20.9+0.0s
[1600/16000]	[L1: 3.1531]	19.8+0.0s
[1760/16000]	[L1: 3.1974]	20.5+0.0s
[1920/16000]	[L1: 3.1891]	21.2+0.0s
[2080/16000]	[L1: 3.1885]	20.9+0.0s
[2240/16000]	[L1: 3.1676]	21.7+0.0s
[2400/16000]	[L1: 3.1594]	21.5+0.0s
[2560/16000]	[L1: 3.1588]	20.9+0.0s
[2720/16000]	[L1: 3.1390]	19.4+0.0s
[2880/16000]	[L1: 3.1474]	21.6+0.0s
[3040/16000]	[L1: 3.1529]	21.5+0.0s
[3200/16000]	[L1: 3.1644]	21.1+0.0s
[3360/16000]	[L1: 3.1666]	20.2+0.0s
[3520/16000]	[L1: 3.1799]	20.9+0.0s
[3680/16000]	[L1: 3.1807]	20.8+0.0s
[3840/16000]	[L1: 3.1897]	19.9+0.0s
[4000/16000]	[L1: 3.1806]	20.7+0.0s
[4160/16000]	[L1: 3.1812]	21.5+0.0s
[4320/16000]	[L1: 3.1807]	21.2+0.0s
[4480/16000]	[L1: 3.1806]	20.7+0.0s
[4640/16000]	[L1: 3.1674]	21.5+0.0s
[4800/16000]	[L1: 3.1784]	20.0+0.0s
[4960/16000]	[L1: 3.1859]	21.0+0.0s
[5120/16000]	[L1: 3.1927]	20.5+0.0s
[5280/16000]	[L1: 3.1850]	20.9+0.0s
[5440/16000]	[L1: 3.1793]	22.2+0.0s
[5600/16000]	[L1: 3.1746]	21.0+0.0s
[5760/16000]	[L1: 3.1741]	20.1+0.0s
[5920/16000]	[L1: 3.1713]	20.7+0.0s
[6080/16000]	[L1: 3.1780]	21.8+0.0s
[6240/16000]	[L1: 3.1753]	21.1+0.0s
[6400/16000]	[L1: 3.1825]	21.0+0.0s
[6560/16000]	[L1: 3.1751]	21.4+0.0s
[6720/16000]	[L1: 3.1769]	21.2+0.0s
[6880/16000]	[L1: 3.1750]	19.6+0.0s
[7040/16000]	[L1: 3.1742]	20.6+0.0s
[7200/16000]	[L1: 3.1729]	21.6+0.0s
[7360/16000]	[L1: 3.1697]	21.3+0.0s
[7520/16000]	[L1: 3.1741]	21.0+0.0s
[7680/16000]	[L1: 3.1729]	21.6+0.0s
[7840/16000]	[L1: 3.1752]	21.0+0.0s
[8000/16000]	[L1: 3.1767]	21.9+0.0s
[8160/16000]	[L1: 3.1805]	20.8+0.0s
[8320/16000]	[L1: 3.1757]	20.8+0.0s
[8480/16000]	[L1: 3.1732]	21.4+0.0s
[8640/16000]	[L1: 3.1751]	20.8+0.0s
[8800/16000]	[L1: 3.1732]	20.5+0.0s
[8960/16000]	[L1: 3.1760]	20.1+0.0s
[9120/16000]	[L1: 3.1763]	21.0+0.0s
[9280/16000]	[L1: 3.1760]	20.8+0.0s
[9440/16000]	[L1: 3.1729]	21.5+0.0s
[9600/16000]	[L1: 3.1670]	21.1+0.0s
[9760/16000]	[L1: 3.1699]	21.7+0.0s
[9920/16000]	[L1: 3.1663]	19.7+0.0s
[10080/16000]	[L1: 3.1669]	21.6+0.0s
[10240/16000]	[L1: 3.1650]	20.6+0.0s
[10400/16000]	[L1: 3.1678]	21.1+0.0s
